应付金额,实际金额,商品,支付时间,地点
3.0,3.0,600ml可口可乐,2017/1/1 9:41,B
4.5,4.5,营养快线,2017/1/1 9:41,B
3.0,3.0,茉莉蜜茶,2017/1/1 11:56,B
3.0,3.0,可口可乐最新款,2017/1/1 20:25,B
2.0,2.0,鸭翅,2017/1/2 13:34,B
4.5,4.5,500ml营养快线原味,2017/1/2 14:36,B
3.5,3.5,王老吉（罐）,2017/1/2 15:28,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/2 17:03,B
3.5,3.5,250ml燕塘甜牛奶,2017/1/2 18:59,B
9.0,9.0,250ml燕塘原味酸奶,2017/1/2 20:03,B
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/2 20:28,B
2.5,2.5,伊利优酸乳,2017/1/2 21:18,B
3.5,3.5,王老吉（罐）,2017/1/2 23:48,B
1.5,1.5,40g双汇玉米热狗肠,2017/1/3 1:52,B
2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/3 15:20,B
2.5,2.5,伊利优酸乳,2017/1/3 15:20,B
4.8,4.8,诗竹竹纤维面巾纸,2017/1/3 15:21,B
6.0,6.0,250ml维他柠檬茶,2017/1/3 15:23,B
3.0,3.0,威化饼干,2017/1/3 15:44,B
5.0,5.0,阿萨姆奶茶,2017/1/3 15:46,B
4.0,4.0,营养快线,2017/1/3 16:17,B
2.5,2.5,可口可乐330ml,2017/1/4 0:43,B
7.0,7.0,150g洽洽原香瓜子,2017/1/4 0:44,B
4.5,4.5,40g乐事薯片黄瓜味,2017/1/4 4:35,B
1.8,1.8,32g卫龙亲嘴烧,2017/1/4 22:33,B
3.0,3.0,怡宝纯净水,2017/1/5 15:51,B
5.0,5.0,阿萨姆奶茶,2017/1/5 16:02,B
4.5,4.5,250ml燕塘甜牛奶,2017/1/5 18:03,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/5 19:51,B
0.6,0.6,20g咪咪虾条马来西亚风味,2017/1/5 20:08,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/6 16:56,B
4.0,4.0,营养快线,2017/1/6 17:40,B
4.0,4.0,450ml美汁源果粒橙,2017/1/6 23:17,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/7 8:59,B
5.0,5.0,85g统一老坛酸菜牛肉面,2017/1/7 18:14,B
2.0,2.0,85g新麦潮北海道吐司,2017/1/8 9:12,B
2.5,2.5,250ml维他柠檬茶,2017/1/8 12:49,B
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 19:54,B
1.5,1.5,香脆肠,2017/1/8 19:54,B
6.5,6.5,430g泰奇八宝粥,2017/1/8 19:57,B
6.0,6.0,红牛,2017/1/8 19:57,B
3.0,3.0,芬达330ml,2017/1/8 20:02,B
3.0,3.0,统一冰红茶,2017/1/8 20:03,B
6.0,6.0,红牛,2017/1/8 20:13,B
3.5,3.5,维他原味豆奶,2017/1/8 20:15,B
3.0,3.0,怡宝纯净水,2017/1/8 20:15,B
3.5,3.5,统一绿茶,2017/1/8 20:22,B
1.5,1.5,劲仔小鱼（卤香味）,2017/1/8 20:32,B
3.0,3.0,维他奶,2017/1/8 20:32,B
4.5,4.5,50g上好佳日式鱼果,2017/1/8 20:34,B
6.0,6.0,安慕希酸奶,2017/1/8 20:37,B
1.5,1.5,香脆肠,2017/1/8 20:42,B
3.5,3.5,王老吉（罐）,2017/1/8 20:46,B
4.0,4.0,阿萨姆奶茶,2017/1/8 20:49,B
2.5,2.5,可口可乐330ml,2017/1/8 20:52,B
3.5,3.5,冰糖雪梨,2017/1/8 20:56,B
5.5,5.5,统一来一桶香辣老坛酸菜牛肉面,2017/1/8 21:00,B
3.0,3.0,怡宝纯净水,2017/1/8 21:00,B
3.0,3.0,怡宝纯净水,2017/1/8 21:03,B
3.0,3.0,250ml维他奶黑豆奶饮品,2017/1/8 21:04,B
4.5,4.5,250ml燕塘原味酸奶,2017/1/8 21:05,B
4.5,4.5,40g乐事美国经典原味,2017/1/8 21:10,B
2.0,2.0,怡宝纯净水,2017/1/8 21:10,B
4.0,4.0,脉动,2017/1/8 21:17,B
3.0,3.0,百事可乐500ml,2017/1/8 21:21,B
3.0,3.0,可口可乐最新款,2017/1/8 21:22,B
5.0,5.0,营养快线,2017/1/8 21:24,B
3.0,3.0,怡宝纯净水,2017/1/8 21:25,B
3.5,3.5,500ml加多宝,2017/1/8 21:26,B
5.0,5.0,王老吉（500ml）,2017/1/8 21:26,B
3.5,3.5,东鹏特饮,2017/1/8 21:27,B
3.0,3.0,250ml维他柠檬茶,2017/1/8 21:46,B
1.5,1.5,香脆肠,2017/1/8 21:46,B
12.0,12.0,巧克力奶油味蛋糕,2017/1/8 21:57,B
3.0,3.0,怡宝纯净水,2017/1/8 21:57,B
5.0,5.0,500ml统一阿萨姆奶茶,2017/1/8 22:47,B
4.0,4.0,85g新麦潮北海道吐司,2017/1/8 23:22,B
3.5,3.5,250ml燕塘原味酸奶,2017/1/8 23:23,B
3.5,3.5,芬达330ml,2017/1/8 23:23,B
3.5,3.5,85g新麦潮手撕面包（提子味）,2017/1/8 23:26,B
3.0,3.0,怡宝纯净水,2017/1/8 23:26,B
