应付金额,实际金额,商品,支付时间,地点
5.0,5.0,48g好丽友薯愿香烤原味,2017/1/1 9:05,C
7.0,7.0,330ml伊利畅意乳酸菌原味,2017/1/1 10:02,C
8.0,8.0,160g盼盼手撕面包,2017/1/1 11:33,C
2.0,2.0,鸭翅,2017/1/1 11:56,C
3.0,3.0,40g双汇玉米热狗肠,2017/1/1 12:55,C
3.0,3.0,怡宝,2017/1/1 18:42,C
4.0,4.0,阿萨姆奶茶,2017/1/2 8:50,C
4.5,4.5,250ml燕塘甜牛奶,2017/1/2 11:55,C
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/2 13:04,C
3.5,3.5,王老吉（罐）,2017/1/2 13:54,C
3.0,3.0,雪碧最新款,2017/1/2 14:37,C
3.5,3.5,王老吉（罐）,2017/1/2 15:56,C
2.0,2.0,5片装益达绿箭口香糖,2017/1/2 16:58,C
16.5,16.5,统一来一桶香辣老坛酸菜牛肉面,2017/1/2 16:59,C
5.0,5.0,无穷农场盐_鸡蛋,2017/1/2 17:47,C
5.6,5.6,250ml维他原味豆奶,2017/1/2 18:23,C
3.5,3.5,250ml燕塘红枣牛奶,2017/1/2 19:02,C
2.0,2.0,怡宝纯净水,2017/1/2 19:02,C
2.0,2.0,怡宝纯净水,2017/1/2 21:18,C
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/2 23:03,C
4.5,4.5,加多宝,2017/1/3 9:49,C
12.0,12.0,250ml维他柠檬茶,2017/1/3 12:28,C
9.0,9.0,四洲粟一烧烧烤味,2017/1/3 14:41,C
3.5,3.5,丽芝士纳宝帝奶酪威化饼干,2017/1/3 15:08,C
4.8,4.8,2g韩国海牌海苔,2017/1/3 20:42,C
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/3 22:15,C
3.5,3.5,王老吉（罐）,2017/1/4 0:42,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/4 13:15,C
1.5,1.5,12g劲仔小鱼麻辣味,2017/1/4 17:22,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/4 17:23,C
3.5,3.5,王老吉（罐）,2017/1/4 17:23,C
3.0,3.0,旺仔牛奶145ml,2017/1/5 15:25,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/5 16:11,C
3.0,3.0,可口可乐最新款,2017/1/5 22:13,C
4.5,4.5,250ml燕塘甜牛奶,2017/1/6 4:09,C
2.8,2.8,145ml旺仔牛奶盒装,2017/1/7 13:01,C
34.0,34.0,188g澳门永辉鸡仔饼,2017/1/7 14:02,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/7 15:14,C
1.0,1.0,咪咪,2017/1/8 20:06,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 20:07,C
2.0,2.0,怡宝纯净水,2017/1/8 20:07,C
3.0,3.0,12g劲仔小鱼麻辣味,2017/1/8 20:09,C
2.0,2.0,伊利优酸乳,2017/1/8 20:12,C
4.0,4.0,阿萨姆奶茶,2017/1/8 20:15,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/8 20:20,C
3.5,3.5,250ml燕塘原味酸奶,2017/1/8 20:22,C
4.0,4.0,68g好丽友巧克力派2枚,2017/1/8 20:22,C
2.5,2.5,伊利优酸乳,2017/1/8 20:22,C
2.0,2.0,怡宝纯净水,2017/1/8 20:23,C
11.8,11.8,37.5g费列罗榛果威化巧克力3颗,2017/1/8 20:24,C
4.5,4.5,脉动,2017/1/8 20:49,C
6.0,6.0,红牛,2017/1/8 20:52,C
4.0,4.0,阿萨姆奶茶,2017/1/8 21:03,C
3.5,3.5,东鹏特饮,2017/1/8 21:16,C
3.5,3.5,统一绿茶,2017/1/8 21:21,C
10.0,10.0,味之不规则饼干（芝士味）,2017/1/8 21:34,C
5.0,5.0,脉动,2017/1/8 21:55,C
5.0,5.0,脉动,2017/1/8 21:56,C
6.0,6.0,330ml伊利畅意乳酸菌原味,2017/1/8 22:03,C
6.0,6.0,86g合味道海鲜风味,2017/1/8 22:55,C
6.0,6.0,无穷烤鸡小腿（蜂蜜）,2017/1/9 3:23,C
1.8,1.8,32g卫龙亲嘴烧,2017/1/9 4:39,C
4.0,4.0,145ml旺仔牛奶盒装,2017/1/9 4:41,C
4.5,4.5,250ml燕塘红枣牛奶,2017/1/9 4:42,C
4.5,4.5,加多宝,2017/1/9 4:49,C
14.0,14.0,维他原味豆奶,2017/1/9 5:03,C
3.8,3.8,110g顺宝九制话梅,2017/1/9 7:37,C
3.0,3.0,可口可乐（500ml）,2017/1/9 7:41,C
3.0,3.0,印尼芝士威化饼干,2017/1/9 7:43,C
2.0,2.0,怡宝纯净水,2017/1/9 8:14,C
3.5,3.5,冰糖雪梨,2017/1/9 8:17,C
1.5,1.5,40g双汇玉米热狗肠,2017/1/9 8:33,C
3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/9 9:26,C
3.0,3.0,果粒橙,2017/1/9 9:35,C
10.0,10.0,30g无穷农场盐_鸡蛋,2017/1/9 11:20,C
6.5,6.5,250ml红牛,2017/1/9 11:56,C
4.0,4.0,乐虎（380ml）,2017/1/9 12:21,C
6.0,6.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 12:27,C
0.8,0.8,咪咪虾条马来西亚风味,2017/1/9 13:16,C
2.0,2.0,怡宝纯净水,2017/1/9 13:22,C
9.0,9.0,180ml雀巢咖啡罐装,2017/1/9 13:25,C
4.5,4.5,65g卫龙亲嘴豆皮,2017/1/9 13:26,C
3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/9 13:48,C
3.0,3.0,雪碧（500ml）,2017/1/9 13:49,C
4.0,4.0,脉动,2017/1/9 13:59,C
2.8,2.8,250ml维他原味豆奶,2017/1/9 14:02,C
7.0,7.0,600ml可口可乐,2017/1/9 14:48,C
4.0,4.0,阿萨姆奶茶,2017/1/9 14:48,C
3.5,3.5,250ml燕塘原味酸奶,2017/1/9 14:50,C
6.0,6.0,红牛,2017/1/9 14:50,C
1.5,1.5,香脆肠,2017/1/9 14:55,C
4.5,4.5,好吃点,2017/1/9 14:58,C
7.0,7.0,泰奇八宝粥,2017/1/9 14:59,C
4.5,4.5,50g上好佳日式鱼果,2017/1/9 15:31,C
1.0,1.0,康师傅矿泉水,2017/1/9 15:32,C
2.5,2.5,145ml旺仔牛奶盒装,2017/1/9 15:39,C
0.0,0.0,110g顺宝九制话梅,2017/1/9 15:56,C
5.5,5.5,145g果王迷你山楂包装,2017/1/9 17:11,C
4.5,4.5,燕塘原味酸奶,2017/1/9 17:27,C
4.0,4.0,营养快线,2017/1/9 17:34,C
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/9 17:35,C
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 17:40,C
4.0,4.0,营养快线,2017/1/9 17:40,C
3.0,3.0,熊字饼,2017/1/9 17:41,C
2.0,2.0,怡宝纯净水,2017/1/9 17:46,C
25.0,25.0,芙蓉王,2017/1/9 17:47,C
4.0,4.0,营养快线,2017/1/9 17:48,C
7.0,7.0,泰奇八宝粥,2017/1/9 17:53,C
10.0,10.0,37.5g费列罗榛果威化巧克力3颗,2017/1/9 18:17,C
4.0,4.0,250ml燕塘甜牛奶,2017/1/9 18:36,C
3.5,3.5,东鹏特饮,2017/1/9 18:51,C
2.5,2.5,30g元朗小蛋卷,2017/1/9 20:52,C
1.5,1.5,劲仔小鱼（麻辣味）,2017/1/9 20:58,C
2.0,2.0,鸭翅,2017/1/9 20:59,C
4.0,4.0,阿萨姆奶茶,2017/1/9 21:00,C
4.5,4.5,银鹭八宝粥,2017/1/9 21:01,C
4.0,4.0,东鹏特饮,2017/1/9 21:02,C
7.0,7.0,泰奇八宝粥,2017/1/9 21:06,C
3.0,3.0,250ml维他原味豆奶,2017/1/9 21:13,C
1.0,1.0,香豆干,2017/1/9 21:13,C
2.0,2.0,怡宝纯净水,2017/1/9 21:14,C
3.0,3.0,雪碧（500ml）,2017/1/9 21:16,C
4.5,4.5,脉动,2017/1/9 21:22,C
5.0,5.0,500ml统一阿萨姆奶茶,2017/1/9 21:25,C
14.0,14.0,68g好丽友巧克力派2枚,2017/1/9 21:38,C
4.5,4.5,脉动,2017/1/9 21:39,C
3.0,3.0,85g新麦潮手撕面包（提子味）,2017/1/9 23:26,C
6.0,6.0,红牛,2017/1/9 23:37,C
7.0,7.0,维他柠檬茶,2017/1/9 23:43,C
5.0,5.0,脉动,2017/1/9 23:56,C
3.0,3.0,250ml维他原味豆奶,2017/1/9 23:57,C
1.0,1.0,好吃点小饼干,2017/1/10 0:16,C
3.2,3.2,20g马来西亚风味咪咪蟹味粒0219,2017/1/10 0:25,C
6.0,6.0,86g合味道浓猪骨味,2017/1/10 1:23,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/10 1:28,C
1.6,1.6,20g咪咪虾条马来西亚风味,2017/1/10 5:40,C
1.5,1.5,45g双汇泡面拍挡,2017/1/10 5:54,C
5.0,5.0,脉动,2017/1/10 7:46,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/10 8:45,C
2.4,2.4,咪咪虾条马来西亚风味,2017/1/10 9:14,C
4.5,4.5,500ml加多宝,2017/1/10 9:16,C
5.0,5.0,脉动,2017/1/10 9:20,C
6.0,6.0,85g新麦潮手撕面包（提子味）,2017/1/10 10:02,C
6.5,6.5,83g汤达人酸辣豚骨拉面,2017/1/10 10:04,C
4.5,4.5,65g卫龙亲嘴豆皮,2017/1/10 10:08,C
3.6,3.6,32g卫龙亲嘴烧,2017/1/10 10:13,C
3.5,3.5,70g乖媳妇野山泡椒凤爪,2017/1/10 10:42,C
4.0,4.0,脉动,2017/1/10 10:45,C
1.6,1.6,韩国海牌海苔,2017/1/10 11:21,C
3.5,3.5,东鹏特饮,2017/1/10 11:51,C
4.0,4.0,脉动,2017/1/10 12:02,C
5.5,5.5,430g泰奇八宝粥,2017/1/10 12:10,C
3.0,3.0,怡宝纯净水,2017/1/10 12:10,C
4.0,4.0,果粒橙,2017/1/10 12:12,C
4.0,4.0,统一冰红茶,2017/1/10 12:13,C
4.0,4.0,果粒橙,2017/1/10 12:14,C
4.0,4.0,王老吉（罐）,2017/1/10 13:01,C
4.0,4.0,果粒橙,2017/1/10 13:10,C
4.0,4.0,果粒橙,2017/1/10 13:18,C
4.0,4.0,统一冰红茶,2017/1/10 13:29,C
5.0,5.0,脉动,2017/1/10 13:36,C
3.0,3.0,怡宝纯净水,2017/1/10 14:05,C
