应付金额,实际金额,商品,支付时间,地点
4.5,4.5,68g好丽友巧克力派2枚,2017/1/1 0:53,D
5.0,5.0,85g统一老坛酸菜牛肉面,2017/1/1 12:53,D
6.0,6.0,红牛,2017/1/1 20:25,D
1.8,1.8,32g卫龙亲嘴烧,2017/1/2 13:27,D
3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/2 13:35,D
4.0,4.0,营养快线,2017/1/2 13:54,D
3.0,3.0,维他奶,2017/1/2 14:37,D
4.5,4.5,500ml加多宝,2017/1/2 16:22,D
3.0,3.0,12g劲仔小鱼麻辣味,2017/1/2 18:16,D
3.0,3.0,250ml维他柠檬茶,2017/1/2 20:53,D
4.5,4.5,68g好丽友巧克力派2枚,2017/1/2 20:58,D
3.0,3.0,85g新麦潮北海道吐司,2017/1/2 21:04,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/2 21:21,D
3.0,3.0,250ml维他原味豆奶,2017/1/2 21:50,D
4.0,4.0,银鹭八宝粥,2017/1/2 23:48,D
7.5,7.5,雀巢咖啡,2017/1/3 15:22,D
4.0,4.0,85g新麦潮北海道吐司,2017/1/3 15:55,D
3.0,3.0,果粒橙,2017/1/3 16:17,D
1.5,1.5,小鱼仔,2017/1/3 16:25,D
1.5,1.5,45g双汇泡面拍挡,2017/1/3 19:23,D
2.4,2.4,20g咪咪虾条马来西亚风味,2017/1/3 20:41,D
3.0,3.0,250ml维他奶低糖原味,2017/1/4 8:59,D
1.5,1.5,鸭翅,2017/1/4 8:59,D
7.0,7.0,泰奇八宝粥,2017/1/4 11:19,D
7.0,7.0,70g乐事薯片黄瓜味,2017/1/4 13:36,D
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/4 21:06,D
3.5,3.5,王老吉（罐）,2017/1/5 16:20,D
3.0,3.0,雪碧最新款,2017/1/7 13:02,D
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/7 14:04,D
3.0,3.0,10g卫龙亲嘴烧香辣味,2017/1/8 19:53,D
3.0,3.0,熊字饼,2017/1/8 19:54,D
3.5,3.5,王老吉（罐）,2017/1/8 19:57,D
3.0,3.0,伊利纯牛奶,2017/1/8 20:07,D
4.0,4.0,营养快线,2017/1/8 20:10,D
5.5,5.5,85g统一老坛酸菜牛肉面,2017/1/8 20:14,D
3.2,3.2,2g韩国海牌海苔,2017/1/8 20:30,D
4.5,4.5,40g乐事薯片黄瓜味,2017/1/8 20:33,D
9.0,9.0,40g乐事薯片黄瓜味,2017/1/8 20:35,D
6.5,6.5,70g乐事薯片（黄瓜味）,2017/1/8 20:36,D
2.0,2.0,怡宝纯净水,2017/1/8 20:46,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/8 20:58,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/8 21:02,D
1.0,1.0,香豆干,2017/1/8 21:10,D
3.5,3.5,250ml维他奶巧克力味,2017/1/8 21:11,D
1.0,1.0,香豆干,2017/1/8 21:11,D
3.0,3.0,卫龙大面筋,2017/1/8 21:16,D
3.5,3.5,统一冰红茶,2017/1/8 21:22,D
0.6,0.6,10g卫龙亲嘴烧香辣味,2017/1/8 21:41,D
2.0,2.0,香脆肠,2017/1/8 21:55,D
3.0,3.0,250ml维他柠檬茶,2017/1/8 22:01,D
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/8 22:56,D
3.0,3.0,250ml维他奶低糖原味,2017/1/8 22:57,D
3.0,3.0,果粒橙,2017/1/9 0:09,D
1.6,1.6,20g咪咪虾条马来西亚风味,2017/1/9 0:20,D
12.0,12.0,330ml伊利畅意乳酸菌原味,2017/1/9 3:11,D
2.0,2.0,双汇玉米热狗肠,2017/1/9 4:31,D
3.0,3.0,可口可乐（500ml）,2017/1/9 7:36,D
3.0,3.0,统一绿茶,2017/1/9 7:42,D
0.0,0.0,85g新麦潮北海道吐司,2017/1/9 8:00,D
6.0,6.0,红牛,2017/1/9 8:13,D
6.5,6.5,100g果王咸柑桔罐装,2017/1/9 8:18,D
5.0,5.0,110g顺宝九制话梅,2017/1/9 8:26,D
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 9:22,D
3.0,3.0,雪碧（500ml）,2017/1/9 9:29,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/9 10:01,D
7.0,7.0,600ml雪碧,2017/1/9 11:27,D
2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 12:14,D
3.0,3.0,果粒橙,2017/1/9 12:19,D
6.5,6.5,430g泰奇八宝粥,2017/1/9 12:38,D
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/9 12:46,D
2.5,2.5,无穷农场盐_鸡蛋,2017/1/9 13:03,D
3.0,3.0,250ml维他柠檬茶,2017/1/9 13:09,D
3.0,3.0,250ml维他原味豆奶,2017/1/9 13:21,D
3.5,3.5,70g乖媳妇野山泡椒凤爪,2017/1/9 13:28,D
4.5,4.5,500ml加多宝,2017/1/9 13:30,D
1.2,1.2,10g卫龙亲嘴烧香辣味,2017/1/9 13:58,D
3.0,3.0,250ml维他柠檬茶,2017/1/9 14:38,D
1.6,1.6,20g咪咪虾条马来西亚风味,2017/1/9 15:13,D
3.0,3.0,40g双汇玉米热狗肠,2017/1/9 15:23,D
4.0,4.0,营养快线,2017/1/9 15:32,D
6.0,6.0,86g合味道海鲜风味,2017/1/9 15:33,D
5.5,5.5,103g康师傅红烧牛肉面,2017/1/9 15:44,D
5.8,5.8,205ml安慕希蓝莓味,2017/1/9 15:55,D
8.0,8.0,55g奥利奥原味芝士饼干,2017/1/9 16:45,D
3.0,3.0,卫龙大面筋,2017/1/9 16:52,D
0.0,0.0,80g马赛克香蕉片,2017/1/9 16:53,D
4.0,4.0,20g咪咪虾条马来西亚风味,2017/1/9 17:30,D
3.5,3.5,东鹏特饮,2017/1/9 17:45,D
7.0,7.0,泰奇八宝粥,2017/1/9 17:45,D
6.0,6.0,红牛,2017/1/9 17:46,D
2.5,2.5,伊利优酸乳,2017/1/9 17:47,D
4.0,4.0,脉动,2017/1/9 17:48,D
4.0,4.0,脉动,2017/1/9 18:05,D
3.5,3.5,250ml燕塘甜牛奶,2017/1/9 18:13,D
3.0,3.0,统一冰红茶,2017/1/9 18:13,D
1.5,1.5,40g双汇玉米热狗肠,2017/1/9 18:19,D
3.5,3.5,250ml燕塘红枣牛奶,2017/1/9 18:34,D
2.0,2.0,怡宝纯净水,2017/1/9 18:34,D
4.0,4.0,银鹭八宝粥,2017/1/9 18:39,D
3.0,3.0,果粒橙,2017/1/9 18:51,D
4.5,4.5,500ml加多宝,2017/1/9 21:07,D
3.0,3.0,熊字饼,2017/1/9 21:08,D
4.0,4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 21:09,D
1.6,1.6,2g韩国海牌海苔,2017/1/9 21:11,D
3.5,3.5,东鹏特饮,2017/1/9 21:12,D
3.2,3.2,20g马来西亚风味咪咪蟹味粒0219,2017/1/9 21:23,D
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/9 21:24,D
1.6,1.6,2g韩国海牌海苔,2017/1/9 21:28,D
7.0,7.0,150g洽洽原香瓜子,2017/1/9 21:51,D
2.0,2.0,5片装益达绿箭口香糖,2017/1/9 21:52,D
6.0,6.0,86g合味道海鲜风味,2017/1/9 21:55,D
9.0,9.0,250ml维他柠檬茶,2017/1/9 23:14,D
1.5,1.5,劲仔小鱼（麻辣味）,2017/1/9 23:36,D
5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017/1/10 0:14,D
3.0,3.0,伊利纯牛奶,2017/1/10 0:15,D
3.0,3.0,果粒橙,2017/1/10 0:16,D
3.0,3.0,250ml维他原味豆奶,2017/1/10 0:30,D
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/10 0:52,D
3.0,3.0,雪碧最新款,2017/1/10 5:15,D
4.0,4.0,王老吉（罐）,2017/1/10 5:32,D
3.5,3.5,阿萨姆奶茶,2017/1/10 6:44,D
4.0,4.0,阿萨姆奶茶,2017/1/10 7:43,D
6.5,6.5,430g泰奇八宝粥,2017/1/10 7:44,D
6.0,6.0,370g泰奇八宝粥,2017/1/10 7:50,D
7.0,7.0,600ml可口可乐,2017/1/10 8:01,D
5.5,5.5,480ml小茗同学冷泡青柠红茶,2017/1/10 8:48,D
9.0,9.0,600ml脉动青柠,2017/1/10 9:06,D
2.0,2.0,凤爪,2017/1/10 9:15,D
4.5,4.5,250ml燕塘甜牛奶,2017/1/10 11:00,D
4.5,4.5,250ml燕塘甜牛奶,2017/1/10 11:50,D
4.0,4.0,营养快线,2017/1/10 11:52,D
3.5,3.5,维他原味豆奶,2017/1/10 12:00,D
3.0,3.0,百事可乐500ml,2017/1/10 12:04,D
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/10 12:06,D
4.0,4.0,王老吉（500ml）,2017/1/10 12:09,D
2.0,2.0,凤爪,2017/1/10 12:13,D
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/10 12:47,D
9.0,9.0,180ml雀巢咖啡罐装,2017/1/10 12:59,D
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/10 13:26,D
3.5,3.5,王老吉（罐）,2017/1/10 13:29,D
1.8,1.8,32g卫龙亲嘴烧,2017/1/10 13:50,D
10.0,10.0,口味王槟榔（绿）,2017/1/10 14:05,D
3.5,3.5,维他柠檬茶,2017/1/10 14:41,D
4.5,4.5,250ml燕塘红枣牛奶,2017/1/10 15:22,D
5.0,5.0,30g无穷农场盐_鸡蛋,2017/1/10 15:23,D
1.5,1.5,40g双汇玉米热狗肠,2017/1/10 15:42,D
2.0,2.0,85g新麦潮北海道吐司,2017/1/10 15:44,D
3.5,3.5,85g新麦潮手撕面包（提子味）,2017/1/10 15:52,D
4.5,4.5,250ml燕塘原味酸奶,2017/1/10 17:05,D
1.8,1.8,32g卫龙亲嘴烧,2017/1/10 17:29,D
1.0,1.0,香豆干,2017/1/10 17:33,D
