应付金额,实际金额,商品,支付时间,地点
5.5,5.5,430g泰奇八宝粥,2017/1/1 8:45,E
5.0,5.0,500ml农夫果园 (芒果+菠萝+番石榴),2017/1/1 18:59,E
5.0,5.0,150g洽洽原香瓜子,2017/1/1 19:11,E
5.0,5.0,250ml维他原味豆奶,2017/1/1 19:28,E
5.0,5.0,30g无穷农场盐_鸡蛋,2017/1/1 19:34,E
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/1 19:44,E
5.5,5.5,430g泰奇八宝粥,2017/1/1 19:57,E
4.0,4.0,营养快线,2017/1/1 20:18,E
3.0,3.0,统一冰红茶,2017/1/1 22:17,E
5.0,5.0,30g无穷农场盐_鸡蛋,2017/1/2 8:47,E
5.0,5.0,268ml雀巢咖啡丝滑拿铁,2017/1/2 8:48,E
8.4,8.4,旺仔牛奶,2017/1/2 13:57,E
2.0,2.0,伊利优酸乳,2017/1/2 15:28,E
5.0,5.0,500ml统一阿萨姆奶茶,2017/1/2 16:07,E
2.0,2.0,145ml旺仔牛奶盒装,2017/1/2 17:46,E
4.0,4.0,双汇玉米热狗肠,2017/1/2 21:17,E
11.0,11.0,250ml红牛,2017/1/2 21:25,E
16.0,16.0,益力多100g*5瓶,2017/1/2 23:01,E
4.5,4.5,68g好丽友巧克力派2枚,2017/1/3 1:53,E
6.0,6.0,250ml维他柠檬茶,2017/1/3 1:54,E
8.0,8.0,越南LIPO奶味面包干100g,2017/1/3 7:26,E
5.0,5.0,脉动（青柠）,2017/1/3 10:01,E
5.0,5.0,500ml统一阿萨姆奶茶,2017/1/3 11:50,E
2.0,2.0,145ml旺仔牛奶盒装,2017/1/3 12:15,E
4.0,4.0,奥利奥原味芝士,2017/1/3 13:19,E
3.5,3.5,东鹏特饮,2017/1/3 15:10,E
5.0,5.0,12g劲仔小鱼麻辣味,2017/1/3 15:16,E
4.0,4.0,银鹭八宝粥,2017/1/3 15:33,E
