,销量,标签
怡宝纯净水,531,热销
东鹏特饮,448,热销
阿萨姆奶茶,326,热销
脉动,309,热销
营养快线,255,热销
统一冰红茶,228,热销
250ml维他柠檬茶,181,热销
250ml维他原味豆奶,176,热销
红牛,166,热销
统一绿茶,151,热销
果粒橙,145,热销
伊利优酸乳,143,热销
145ml旺仔牛奶盒装,131,热销
250ml燕塘红枣牛奶,128,热销
250ml燕塘甜牛奶,126,热销
雪碧（500ml）,123,热销
250ml燕塘原味酸奶,112,热销
王老吉（500ml）,108,热销
银鹭八宝粥,103,热销
可口可乐（500ml）,101,热销
268ml雀巢咖啡丝滑拿铁,91,热销
伊利纯牛奶,90,热销
雪碧最新款,78,热销
330ml伊利畅意乳酸菌原味,74,热销
250ml红牛,71,热销
250ml维他奶巧克力味,69,热销
450ml美汁源果粒橙,69,热销
王老吉（罐）,68,热销
雪碧330ml,67,正常
500ml统一阿萨姆奶茶,65,正常
维他奶,62,正常
维他柠檬茶,58,正常
怡宝,55,正常
可口可乐最新款,55,正常
可口可乐330ml,54,正常
205g伊利安慕希原味,53,正常
600ml脉动青柠,51,正常
芬达330ml,47,正常
500ml加多宝,44,正常
600ml可口可乐,43,正常
茉莉蜜茶,42,正常
600ml雪碧,40,正常
100g*5瓶益力多,40,正常
冰糖雪梨,39,正常
480ml小茗同学冷泡青柠红茶,36,正常
雀巢咖啡,34,正常
500ml农夫果园 (芒果+菠萝+番石榴),31,正常
雪力矿泉水,29,正常
150g健能酸奶原味,28,正常
百事可乐500ml,25,正常
250ml维他奶低糖原味,25,正常
250ml王老吉盒装,22,正常
180ml雀巢咖啡罐装,22,正常
阿萨姆煎茶奶绿,20,正常
美年达（罐）,19,正常
康师傅矿泉水,19,正常
尖叫,19,正常
优益C活菌型乳酸菌饮品,17,正常
椰树牌椰汁,16,正常
250ML东鹏特饮,16,正常
250ml统一麦香奶茶,16,正常
百事可乐330ml,15,正常
旺仔牛奶,15,正常
80g香飘飘椰果奶茶原味,14,正常
可乐可乐,13,正常
80g香飘飘椰果奶茶麦香味,13,正常
农夫果园,13,正常
怡宝矿泉水,11,正常
250ml维他奶黑豆奶饮品,11,正常
乐虎,11,正常
燕塘红枣牛奶,11,正常
维他原味豆奶,10,正常
雪碧,8,正常
250ml维他椰子植物蛋白饮料,8,正常
美汁源果粒橙,8,正常
205ml安慕希蓝莓味,7,正常
益力多100g*5瓶,7,正常
480ml小茗同学冷泡溜溜哒茶,7,正常
维他奶黑豆奶饮品,7,正常
燕塘甜牛奶,7,正常
统一阿萨姆奶茶,7,正常
500ml营养快线原味,6,滞销
冰红茶（罐）,6,滞销
小茗同学,6,滞销
燕塘原味酸奶,6,滞销
250ml维他椰子植物蛋白饮料9374,6,滞销
乐虎（380ml）,5,滞销
脉动（青柠）,5,滞销
可口可乐330ml（罐）,5,滞销
维他奶（巧克力味）,4,滞销
加多宝,4,滞销
13g雀巢咖啡1+2特浓,4,滞销
天地一号,4,滞销
商品2,4,滞销
500ML宝矿力,4,滞销
500ml康师傅冰糖雪梨,4,滞销
经典奶茶,4,滞销
500ml统一冰糖雪梨,4,滞销
拿铁咖啡（统一）,3,滞销
珠江纯生啤酒,3,滞销
维他柠檬茶330ml（罐）,3,滞销
500ml恒大冰泉矿泉水,3,滞销
旺仔牛奶145ml,3,滞销
健能酸奶,2,滞销
商品1,2,滞销
娃哈哈红枣酸奶,2,滞销
安慕希酸奶,2,滞销
145ml旺仔牛奶罐装,2,滞销
250ml香满楼纯牛奶,2,滞销
芦荟汁,1,滞销
小茗同学冷泡茶（乳酸菌味）,1,滞销
脉动（椰子菠萝口味）,1,滞销
