,销量,标签
怡宝纯净水,999,热销
脉动,759,热销
东鹏特饮,525,热销
阿萨姆奶茶,456,热销
营养快线,435,热销
王老吉（罐）,402,热销
统一冰红茶,394,热销
果粒橙,328,热销
芬达330ml,271,热销
雪碧最新款,259,热销
伊利优酸乳,258,热销
250ml维他柠檬茶,255,热销
统一绿茶,246,热销
王老吉（500ml）,238,热销
红牛,231,热销
可口可乐330ml,219,热销
250ml维他原味豆奶,217,热销
怡宝,182,热销
银鹭八宝粥,166,热销
250ml燕塘原味酸奶,134,热销
250ml燕塘甜牛奶,129,热销
250ml燕塘红枣牛奶,129,热销
伊利纯牛奶,127,热销
145ml旺仔牛奶盒装,127,热销
可口可乐最新款,125,热销
250ml红牛,119,热销
268ml雀巢咖啡丝滑拿铁,95,热销
雪碧（500ml）,82,热销
500ml统一阿萨姆奶茶,80,热销
维他奶,79,正常
阿萨姆煎茶奶绿,76,正常
维他柠檬茶,73,正常
茉莉蜜茶,70,正常
雪碧330ml,70,正常
600ml雪碧,69,正常
330ml伊利畅意乳酸菌原味,66,正常
450ml美汁源果粒橙,61,正常
可口可乐（500ml）,60,正常
冰糖雪梨,59,正常
600ml可口可乐,57,正常
250ml维他奶巧克力味,53,正常
500ml加多宝,52,正常
205g伊利安慕希原味,51,正常
600ml脉动青柠,41,正常
维他原味豆奶,39,正常
150g健能酸奶原味,37,正常
480ml小茗同学冷泡青柠红茶,37,正常
100g*5瓶益力多,33,正常
500ml农夫果园 (芒果+菠萝+番石榴),33,正常
乐虎,31,正常
雀巢咖啡,30,正常
可乐可乐,29,正常
燕塘原味酸奶,29,正常
美汁源果粒橙,26,正常
250ml维他奶低糖原味,26,正常
康师傅矿泉水,24,正常
椰树牌椰汁,24,正常
500ml康师傅冰糖雪梨,24,正常
250ml统一麦香奶茶,23,正常
尖叫,22,正常
250ml王老吉盒装,22,正常
燕塘甜牛奶,21,正常
250ML东鹏特饮,20,正常
180ml雀巢咖啡罐装,19,正常
脉动（青柠）,18,正常
80g香飘飘椰果奶茶麦香味,17,正常
旺仔牛奶145ml,16,正常
燕塘红枣牛奶,16,正常
80g香飘飘椰果奶茶原味,16,正常
百事可乐500ml,15,正常
维他柠檬茶330ml（罐）,13,正常
小茗同学,12,正常
旺仔牛奶,12,正常
统一阿萨姆奶茶,12,正常
250ml维他椰子味豆奶7716,11,正常
250ml维他椰子植物蛋白饮料,11,正常
145ml旺仔牛奶罐装,11,正常
加多宝,10,正常
冰红茶（罐）,10,正常
维他奶（巧克力味）,10,正常
雪碧,8,正常
480ml小茗同学冷泡溜溜哒茶,8,正常
怡宝矿泉水,7,正常
农夫果园,7,正常
美年达（罐）,7,正常
乐虎（380ml）,6,滞销
13g雀巢咖啡1+2特浓,5,滞销
小茗同学冷泡茶（乳酸菌味）,5,滞销
205ml安慕希蓝莓味,5,滞销
珠江纯生啤酒,5,滞销
500ml营养快线原味,5,滞销
250ml香满楼纯牛奶,4,滞销
益力多100g*5瓶,4,滞销
500ML宝矿力,4,滞销
安慕希酸奶,4,滞销
500ml统一冰糖雪梨,4,滞销
可口可乐330ml（罐）,3,滞销
250ml维他奶黑豆奶饮品,3,滞销
小茗同学（青柠红茶）,3,滞销
天地一号,3,滞销
商品2,3,滞销
500ml恒大冰泉矿泉水,2,滞销
雪力矿泉水,2,滞销
330ml伊利畅意乳酸菌草莓味,2,滞销
维他奶黑豆奶饮品,2,滞销
拿铁咖啡（统一）,2,滞销
优益C活菌型乳酸菌饮品,2,滞销
脉动（椰子菠萝口味）,2,滞销
百事可乐330ml,2,滞销
健能酸奶,2,滞销
娃哈哈红枣酸奶,2,滞销
商品14,1,滞销
250ml维他椰子植物蛋白饮料9374,1,滞销
芦荟汁,1,滞销
