,销量,标签
东鹏特饮,411,热销
怡宝纯净水,387,热销
阿萨姆奶茶,365,热销
营养快线,319,热销
统一冰红茶,309,热销
脉动,283,热销
统一绿茶,188,热销
红牛,180,热销
雪碧最新款,178,热销
王老吉（罐）,177,热销
可口可乐（500ml）,176,热销
果粒橙,168,热销
可口可乐最新款,144,热销
雪碧（500ml）,132,热销
250ml维他柠檬茶,109,热销
伊利优酸乳,102,热销
250ml维他原味豆奶,96,热销
王老吉（500ml）,87,热销
银鹭八宝粥,83,热销
美年达（罐）,83,热销
伊利纯牛奶,81,热销
145ml旺仔牛奶盒装,81,热销
250ml燕塘甜牛奶,77,热销
250ml燕塘原味酸奶,72,热销
250ml红牛,68,热销
维他柠檬茶,65,热销
250ml燕塘红枣牛奶,64,热销
600ml可口可乐,63,正常
维他奶,56,正常
可口可乐330ml,54,正常
268ml雀巢咖啡丝滑拿铁,53,正常
330ml伊利畅意乳酸菌原味,44,正常
500ml统一阿萨姆奶茶,35,正常
600ml脉动青柠,35,正常
480ml小茗同学冷泡青柠红茶,35,正常
205g伊利安慕希原味,33,正常
百事可乐330ml,32,正常
茉莉蜜茶,31,正常
150g健能酸奶原味,31,正常
250ml维他奶巧克力味,29,正常
180ml雀巢咖啡罐装,28,正常
450ml美汁源果粒橙,25,正常
250ML东鹏特饮,25,正常
100g*5瓶益力多,25,正常
雀巢咖啡,24,正常
500ml加多宝,23,正常
雪碧330ml,19,正常
600ml雪碧,19,正常
80g香飘飘椰果奶茶麦香味,18,正常
可乐可乐,18,正常
维他原味豆奶,18,正常
冰糖雪梨,16,正常
乐虎（380ml）,15,正常
怡宝,14,正常
阿萨姆煎茶奶绿,14,正常
250ml王老吉盒装,12,正常
500ml农夫果园 (芒果+菠萝+番石榴),11,正常
80g香飘飘椰果奶茶原味,10,正常
康师傅矿泉水,10,正常
250ml维他奶低糖原味,9,正常
芬达330ml,9,正常
健能酸奶,8,正常
美汁源果粒橙,8,正常
雪力矿泉水,7,正常
480ml小茗同学冷泡溜溜哒茶,7,正常
加多宝,7,正常
椰树牌椰汁,7,正常
尖叫,6,正常
燕塘原味酸奶,6,正常
百事可乐500ml,5,正常
燕塘红枣牛奶,5,正常
益力多100g*5瓶,5,正常
怡宝矿泉水,4,正常
安慕希酸奶,4,正常
500ml营养快线原味,3,滞销
雪碧,3,滞销
250ml维他奶黑豆奶饮品,3,滞销
500ml康师傅冰糖雪梨,3,滞销
统一阿萨姆奶茶,3,滞销
205ml安慕希蓝莓味,2,滞销
可口可乐330ml（罐）,2,滞销
旺仔牛奶,2,滞销
维他奶（巧克力味）,2,滞销
500ml统一冰糖雪梨,2,滞销
250ml统一麦香奶茶,2,滞销
农夫果园,2,滞销
乐虎,2,滞销
燕塘甜牛奶,2,滞销
250ml维他椰子味豆奶7716,2,滞销
冰红茶（罐）,2,滞销
可乐（500ml）,2,滞销
商品2,2,滞销
250ml维他椰子植物蛋白饮料,2,滞销
脉动（青柠）,1,滞销
250ml香满楼纯牛奶,1,滞销
芦荟汁,1,滞销
经典奶茶,1,滞销
商品1,1,滞销
小茗同学冷泡茶（乳酸菌味）,1,滞销
145ml旺仔牛奶罐装,1,滞销
500ml恒大冰泉矿泉水,1,滞销
脉动（椰子菠萝口味）,1,滞销
250ml维他椰子植物蛋白饮料9374,1,滞销
旺仔牛奶145ml,1,滞销
500ML宝矿力,1,滞销
