,销量,标签
怡宝纯净水,1705,热销
脉动,996,热销
营养快线,805,热销
阿萨姆奶茶,792,热销
东鹏特饮,709,热销
统一冰红茶,626,热销
统一绿茶,490,热销
果粒橙,470,热销
王老吉（500ml）,417,热销
王老吉（罐）,410,热销
250ml维他柠檬茶,397,热销
250ml维他原味豆奶,391,热销
芬达330ml,382,热销
伊利优酸乳,375,热销
雪碧最新款,309,热销
红牛,289,热销
250ml燕塘原味酸奶,249,热销
可口可乐330ml,244,热销
伊利纯牛奶,241,热销
250ml燕塘甜牛奶,232,热销
145ml旺仔牛奶盒装,228,热销
银鹭八宝粥,220,热销
250ml燕塘红枣牛奶,206,热销
可口可乐（500ml）,202,热销
268ml雀巢咖啡丝滑拿铁,197,热销
雪碧330ml,173,热销
雪碧（500ml）,172,热销
250ml红牛,172,热销
维他柠檬茶,169,热销
500ml统一阿萨姆奶茶,158,正常
330ml伊利畅意乳酸菌原味,149,正常
600ml可口可乐,145,正常
冰糖雪梨,143,正常
600ml雪碧,143,正常
可口可乐最新款,142,正常
450ml美汁源果粒橙,140,正常
250ml维他奶巧克力味,138,正常
美年达（罐）,133,正常
维他奶,132,正常
600ml脉动青柠,127,正常
500ml加多宝,116,正常
雀巢咖啡,97,正常
维他原味豆奶,93,正常
205g伊利安慕希原味,89,正常
茉莉蜜茶,83,正常
480ml小茗同学冷泡青柠红茶,77,正常
可乐可乐,71,正常
尖叫,67,正常
100g*5瓶益力多,64,正常
500ml农夫果园 (芒果+菠萝+番石榴),63,正常
150g健能酸奶原味,61,正常
250ml维他奶低糖原味,57,正常
椰树牌椰汁,54,正常
康师傅矿泉水,54,正常
250ML东鹏特饮,49,正常
燕塘红枣牛奶,47,正常
乐虎,47,正常
旺仔牛奶,47,正常
加多宝,46,正常
芦荟汁,44,正常
脉动（青柠）,44,正常
250ml统一麦香奶茶,44,正常
维他奶（巧克力味）,41,正常
燕塘甜牛奶,39,正常
统一阿萨姆奶茶,38,正常
雪碧,38,正常
怡宝,37,正常
雪力矿泉水,35,正常
益力多100g*5瓶,34,正常
农夫果园,29,正常
旺仔牛奶145ml,29,正常
燕塘原味酸奶,29,正常
优益C活菌型乳酸菌饮品,28,正常
美汁源果粒橙,27,正常
健能酸奶,27,正常
180ml雀巢咖啡罐装,24,正常
500ml康师傅冰糖雪梨,23,正常
145ml旺仔牛奶罐装,21,正常
80g香飘飘椰果奶茶原味,20,正常
250ml王老吉盒装,20,正常
怡宝矿泉水,19,正常
480ml小茗同学冷泡溜溜哒茶,16,正常
百事可乐500ml,14,正常
250ml维他椰子植物蛋白饮料,12,正常
80g香飘飘椰果奶茶麦香味,11,滞销
阿萨姆煎茶奶绿,11,滞销
205ml安慕希蓝莓味,10,滞销
500ml营养快线原味,10,滞销
小茗同学,10,滞销
脉动（椰子菠萝口味）,9,滞销
500ml恒大冰泉矿泉水,9,滞销
拿铁咖啡（统一）,8,滞销
500ML宝矿力,7,滞销
250ml维他奶黑豆奶饮品,5,滞销
安慕希酸奶,5,滞销
13g雀巢咖啡1+2特浓,4,滞销
可口可乐330ml（罐）,3,滞销
330ml伊利畅意乳酸菌草莓味,3,滞销
500ml统一冰糖雪梨,3,滞销
250ml维他椰子味豆奶7716,3,滞销
商品1,3,滞销
340ml蒙牛优益C乳酸菌,2,滞销
百事可乐330ml,2,滞销
乐虎（380ml）,2,滞销
250ml维他椰子植物蛋白饮料9374,2,滞销
维他柠檬茶330ml（罐）,2,滞销
冰红茶（罐）,2,滞销
经典奶茶,2,滞销
商品2,1,滞销
小茗同学（青柠红茶）,1,滞销
维他奶黑豆奶饮品,1,滞销
小茗同学冷泡茶（乳酸菌味）,1,滞销
珠江纯生啤酒,1,滞销
